Discipline	Gender	Event	phase	Eventunit	schedule	medalflag	ENG longdescription	ENG Description	FRA longdescription	FRA Description	Eventunittype	cisSchedule	infoSchedule	scheduleFilter11	scheduleFilter12	scheduleFilter21	scheduleFilter22	groupCriteria
AF	0	CUL	0	00	N	0	General	General	General	General	NONE	N	N					
AQ	0	000	0	00	N	0	Aquatics Sport	Aquatics Sport	Natation	Natation	NONE	N	N					
AR	0	000	0	00	N	0	Archery	Archery	Tir à l'arc	Tir à l'arc	NONE	N	N					
AR	0	000	N	01	Y	0	Archery - Draw	Archery - Draw	Tir à l'arc - tirage au sort	Tir à l'arc - tirage au sort	NONE	N	Y					
AR	0	000	Q	01	Y	0	Archery Team Captains Meeting	Archery Team Captains Meeting	Tir à l'arc - réunion des chefs d'équipe	Tir à l'arc - réunion des chefs d'équipe	NONE	N	Y					
AR	0	000	Y	00	N	0	Archery Daily Schedule	Archery Daily Schedule	Tir à l'arc, calendrier par jour	Tir à l'arc, calendrier par jour	NONE	N	N					
AR	0	000	Y	01	N	0	Archery Day 1	Archery Day 1	Tir à l'arc, jour 1	Tir à l'arc, jour 1	NONE	N	N					
AR	0	000	Y	02	N	0	Archery Day 2	Archery Day 2	Tir à l'arc, jour 2	Tir à l'arc, jour 2	NONE	N	N					
AR	0	000	Y	03	N	0	Archery Day 3	Archery Day 3	Tir à l'arc, jour 3	Tir à l'arc, jour 3	NONE	N	N					
AR	0	000	Y	04	N	0	Archery Day 4	Archery Day 4	Tir à l'arc, jour 4	Tir à l'arc, jour 4	NONE	N	N					
AR	0	000	Y	05	N	0	Archery Day 5	Archery Day 5	Tir à l'arc, jour 5	Tir à l'arc, jour 5	NONE	N	N					
AR	0	000	Y	06	N	0	Archery Day 6	Archery Day 6	Tir à l'arc, jour 6	Tir à l'arc, jour 6	NONE	N	N					
AR	0	000	Y	07	N	0	Archery Day 7	Archery Day 7	Tir à l'arc, jour 7	Tir à l'arc, jour 7	NONE	N	N					
AR	0	000	Y	08	N	0	Archery Day 8	Archery Day 8	Tir à l'arc, jour 8	Tir à l'arc, jour 8	NONE	N	N					
AR	0	000	Y	09	N	0	Archery Day 9	Archery Day 9	Tir à l'arc, jour 9	Tir à l'arc, jour 9	NONE	N	N					
AR	0	000	Y	10	N	0	Archery Day 10	Archery Day 10	Tir à l'arc, jour 10	Tir à l'arc, jour 10	NONE	N	N					
AR	0	000	Y	11	N	0	Archery Day 11	Archery Day 11	Tir à l'arc, jour 11	Tir à l'arc, jour 11	NONE	N	N					
AR	0	000	Y	12	N	0	Archery Day 12	Archery Day 12	Tir à l'arc, jour 12	Tir à l'arc, jour 12	NONE	N	N					
AR	0	000	Y	13	N	0	Archery Day 13	Archery Day 13	Tir à l'arc, jour 13	Tir à l'arc, jour 13	NONE	N	N					
AR	0	000	Y	14	N	0	Archery Day 14	Archery Day 14	Tir à l'arc, jour 14	Tir à l'arc, jour 14	NONE	N	N					
AR	0	000	Y	15	N	0	Archery Day 15	Archery Day 15	Tir à l'arc, jour 15	Tir à l'arc, jour 15	NONE	N	N					
AR	0	000	Y	16	N	0	Archery Day 16	Archery Day 16	Tir à l'arc, jour 16	Tir à l'arc, jour 16	NONE	N	N					
AR	0	000	Y	17	N	0	Archery Day 17	Archery Day 17	Tir à l'arc, jour 17	Tir à l'arc, jour 17	NONE	N	N					
AR	0	000	Y	18	N	0	Archery Day 18	Archery Day 18	Tir à l'arc, jour 18	Tir à l'arc, jour 18	NONE	N	N					
AR	0	000	Y	19	N	0	Archery Day 19	Archery Day 19	Tir à l'arc, jour 19	Tir à l'arc, jour 19	NONE	N	N					
AR	0	000	Y	20	N	0	Archery Day 20	Archery Day 20	Tir à l'arc, jour 20	Tir à l'arc, jour 20	NONE	N	N					
AR	0	000	Y	21	N	0	Archery Day 21	Archery Day 21	Tir à l'arc, jour 21	Tir à l'arc, jour 21	NONE	N	N					
AR	0	000	Y	22	N	0	Archery Day 22	Archery Day 22	Tir à l'arc, jour 22	Tir à l'arc, jour 22	NONE	N	N					
AR	0	000	Y	23	N	0	Archery Day 23	Archery Day 23	Tir à l'arc, jour 23	Tir à l'arc, jour 23	NONE	N	N					
AR	0	000	Y	24	N	0	Archery Day 24	Archery Day 24	Tir à l'arc, jour 24	Tir à l'arc, jour 24	NONE	N	N					
AR	0	000	Y	25	N	0	Archery Day 25	Archery Day 25	Tir à l'arc, jour 25	Tir à l'arc, jour 25	NONE	N	N					
AR	0	000	Y	26	N	0	Archery Day 26	Archery Day 26	Tir à l'arc, jour 26	Tir à l'arc, jour 26	NONE	N	N					
AR	0	000	Y	27	N	0	Archery Day 27	Archery Day 27	Tir à l'arc, jour 27	Tir à l'arc, jour 27	NONE	N	N					
AR	0	000	Y	28	N	0	Archery Day 28	Archery Day 28	Tir à l'arc, jour 28	Tir à l'arc, jour 28	NONE	N	N					
AR	0	000	Y	29	N	0	Archery Day 29	Archery Day 29	Tir à l'arc, jour 29	Tir à l'arc, jour 29	NONE	N	N					
AR	0	000	Y	30	N	0	Archery Day 30	Archery Day 30	Tir à l'arc, jour 30	Tir à l'arc, jour 30	NONE	N	N					
AR	0	000	Y	31	N	0	Archery Day 31	Archery Day 31	Tir à l'arc, jour 31	Tir à l'arc, jour 31	NONE	N	N					
AR	0	070	Z	01	Y	0	Archery Individual Session 1	Archery Individual Session 1	Tir à l'arc, épreuve individuelle session 1	Tir à l'arc, épreuve individuelle ses 1	NONE	Y	N					
AR	0	070	Z	02	Y	0	Archery Individual Session 2	Archery Individual Session 2	Tir à l'arc, épreuve individuelle session 2	Tir à l'arc, épreuve individuelle ses 2	NONE	Y	N					
AR	0	070	Z	03	Y	0	Archery Individual Session 3	Archery Individual Session 3	Tir à l'arc, épreuve individuelle session 3	Tir à l'arc, épreuve individuelle ses 3	NONE	Y	N					
AR	0	070	Z	04	Y	0	Archery Individual Session 4	Archery Individual Session 4	Tir à l'arc, épreuve individuelle session 4	Tir à l'arc, épreuve individuelle ses 4	NONE	Y	N					
AR	0	070	Z	05	Y	0	Archery Individual Session 5	Archery Individual Session 5	Tir à l'arc, épreuve individuelle session 5	Tir à l'arc, épreuve individuelle ses 5	NONE	Y	N					
AR	0	070	Z	06	Y	0	Archery Individual Session 6	Archery Individual Session 6	Tir à l'arc, épreuve individuelle session 6	Tir à l'arc, épreuve individuelle ses 6	NONE	Y	N					
AR	0	070	Z	07	Y	0	Archery Individual Session 7	Archery Individual Session 7	Tir à l'arc, épreuve individuelle session 7	Tir à l'arc, épreuve individuelle ses 7	NONE	Y	N					
AR	0	070	Z	08	Y	0	Archery Individual Session 8	Archery Individual Session 8	Tir à l'arc, épreuve individuelle session 8	Tir à l'arc, épreuve individuelle ses 8	NONE	Y	N					
AR	0	070	Z	09	Y	0	Archery Individual Session 9	Archery Individual Session 9	Tir à l'arc, épreuve individuelle session 9	Tir à l'arc, épreuve individuelle ses 9	NONE	Y	N					
AR	0	070	Z	10	Y	0	Archery Individual Session 10	Archery Individual Session 10	Tir à l'arc, épreuve individuelle session 10	Tir à l'arc, épreuve individuelle ses 10	NONE	Y	N					
AR	0	070	Z	11	Y	0	Archery Individual Session 11	Archery Individual Session 11	Tir à l'arc, épreuve individuelle session 11	Tir à l'arc, épreuve individuelle ses 11	NONE	Y	N					
AR	0	070	Z	12	Y	0	Archery Individual Session 12	Archery Individual Session 12	Tir à l'arc, épreuve individuelle session 12	Tir à l'arc, épreuve individuelle ses 12	NONE	Y	N					
AR	0	070	Z	13	Y	0	Archery Individual Session 13	Archery Individual Session 13	Tir à l'arc, épreuve individuelle session 13	Tir à l'arc, épreuve individuelle ses 13	NONE	Y	N					
AR	0	070	Z	14	Y	0	Archery Individual Session 14	Archery Individual Session 14	Tir à l'arc, épreuve individuelle session 14	Tir à l'arc, épreuve individuelle ses 14	NONE	Y	N					
AR	0	070	Z	15	Y	0	Archery Individual Session 15	Archery Individual Session 15	Tir à l'arc, épreuve individuelle session 15	Tir à l'arc, épreuve individuelle ses 15	NONE	Y	N					
AR	0	070	Z	16	Y	0	Archery Individual Session 16	Archery Individual Session 16	Tir à l'arc, épreuve individuelle session 16	Tir à l'arc, épreuve individuelle ses 16	NONE	Y	N					
AR	0	070	Z	17	Y	0	Archery Individual Session 17	Archery Individual Session 17	Tir à l'arc, épreuve individuelle session 17	Tir à l'arc, épreuve individuelle ses 17	NONE	Y	N					
AR	0	070	Z	18	Y	0	Archery Individual Session 18	Archery Individual Session 18	Tir à l'arc, épreuve individuelle session 18	Tir à l'arc, épreuve individuelle ses 18	NONE	Y	N					
AR	0	070	Z	19	Y	0	Archery Individual Session 19	Archery Individual Session 19	Tir à l'arc, épreuve individuelle session 19	Tir à l'arc, épreuve individuelle ses 19	NONE	Y	N					
AR	0	070	Z	20	Y	0	Archery Individual Session 20	Archery Individual Session 20	Tir à l'arc, épreuve individuelle session 20	Tir à l'arc, épreuve individuelle ses 20	NONE	Y	N					
AR	0	070	Z	21	Y	0	Archery Individual Session 21	Archery Individual Session 21	Tir à l'arc, épreuve individuelle session 21	Tir à l'arc, épreuve individuelle ses 21	NONE	Y	N					
AR	0	070	Z	22	Y	0	Archery Individual Session 22	Archery Individual Session 22	Tir à l'arc, épreuve individuelle session 22	Tir à l'arc, épreuve individuelle ses 22	NONE	Y	N					
AR	0	070	Z	23	Y	0	Archery Individual Session 23	Archery Individual Session 23	Tir à l'arc, épreuve individuelle session 23	Tir à l'arc, épreuve individuelle ses 23	NONE	Y	N					
AR	0	070	Z	24	Y	0	Archery Individual Session 24	Archery Individual Session 24	Tir à l'arc, épreuve individuelle session 24	Tir à l'arc, épreuve individuelle ses 24	NONE	Y	N					
AR	0	070	Z	25	Y	0	Archery Individual Session 25	Archery Individual Session 25	Tir à l'arc, épreuve individuelle session 25	Tir à l'arc, épreuve individuelle ses 25	NONE	Y	N					
AR	0	070	Z	26	Y	0	Archery Individual Session 26	Archery Individual Session 26	Tir à l'arc, épreuve individuelle session 26	Tir à l'arc, épreuve individuelle ses 26	NONE	Y	N					
AR	0	070	Z	27	Y	0	Archery Individual Session 27	Archery Individual Session 27	Tir à l'arc, épreuve individuelle session 27	Tir à l'arc, épreuve individuelle ses 27	NONE	Y	N					
AR	0	070	Z	28	Y	0	Archery Individual Session 28	Archery Individual Session 28	Tir à l'arc, épreuve individuelle session 28	Tir à l'arc, épreuve individuelle ses 28	NONE	Y	N					
AR	0	070	Z	29	Y	0	Archery Individual Session 29	Archery Individual Session 29	Tir à l'arc, épreuve individuelle session 29	Tir à l'arc, épreuve individuelle ses 29	NONE	Y	N					
AR	0	070	Z	30	Y	0	Archery Individual Session 30	Archery Individual Session 30	Tir à l'arc, épreuve individuelle session 30	Tir à l'arc, épreuve individuelle ses 30	NONE	Y	N					
AR	0	070	Z	31	Y	0	Archery Individual Session 31	Archery Individual Session 31	Tir à l'arc, épreuve individuelle session 31	Tir à l'arc, épreuve individuelle ses 31	NONE	Y	N					
AR	0	070	Z	32	Y	0	Archery Individual Session 32	Archery Individual Session 32	Tir à l'arc, épreuve individuelle session 32	Tir à l'arc, épreuve individuelle ses 32	NONE	Y	N					
AR	0	070	Z	33	Y	0	Archery Individual Session 33	Archery Individual Session 33	Tir à l'arc, épreuve individuelle session 33	Tir à l'arc, épreuve individuelle ses 33	NONE	Y	N					
AR	0	070	Z	34	Y	0	Archery Individual Session 34	Archery Individual Session 34	Tir à l'arc, épreuve individuelle session 34	Tir à l'arc, épreuve individuelle ses 34	NONE	Y	N					
AR	0	070	Z	35	Y	0	Archery Individual Session 35	Archery Individual Session 35	Tir à l'arc, épreuve individuelle session 35	Tir à l'arc, épreuve individuelle ses 35	NONE	Y	N					
AR	0	070	Z	36	Y	0	Archery Individual Session 36	Archery Individual Session 36	Tir à l'arc, épreuve individuelle session 36	Tir à l'arc, épreuve individuelle ses 36	NONE	Y	N					
AR	0	070	Z	37	Y	0	Archery Individual Session 37	Archery Individual Session 37	Tir à l'arc, épreuve individuelle session 37	Tir à l'arc, épreuve individuelle ses 37	NONE	Y	N					
AR	0	070	Z	38	Y	0	Archery Individual Session 38	Archery Individual Session 38	Tir à l'arc, épreuve individuelle session 38	Tir à l'arc, épreuve individuelle ses 38	NONE	Y	N					
AR	0	070	Z	39	Y	0	Archery Individual Session 39	Archery Individual Session 39	Tir à l'arc, épreuve individuelle session 39	Tir à l'arc, épreuve individuelle ses 39	NONE	Y	N					
AR	0	070	Z	40	Y	0	Archery Individual Session 40	Archery Individual Session 40	Tir à l'arc, épreuve individuelle session 40	Tir à l'arc, épreuve individuelle ses 40	NONE	Y	N					
AR	0	070	Z	41	Y	0	Archery Individual Session 41	Archery Individual Session 41	Tir à l'arc, épreuve individuelle session 41	Tir à l'arc, épreuve individuelle ses 41	NONE	Y	N					
AR	0	070	Z	42	Y	0	Archery Individual Session 42	Archery Individual Session 42	Tir à l'arc, épreuve individuelle session 42	Tir à l'arc, épreuve individuelle ses 42	NONE	Y	N					
AR	0	070	Z	43	Y	0	Archery Individual Session 43	Archery Individual Session 43	Tir à l'arc, épreuve individuelle session 43	Tir à l'arc, épreuve individuelle ses 43	NONE	Y	N					
AR	0	070	Z	44	Y	0	Archery Individual Session 44	Archery Individual Session 44	Tir à l'arc, épreuve individuelle session 44	Tir à l'arc, épreuve individuelle ses 44	NONE	Y	N					
AR	0	070	Z	45	Y	0	Archery Individual Session 45	Archery Individual Session 45	Tir à l'arc, épreuve individuelle session 45	Tir à l'arc, épreuve individuelle ses 45	NONE	Y	N					
AR	0	070	Z	46	Y	0	Archery Individual Session 46	Archery Individual Session 46	Tir à l'arc, épreuve individuelle session 46	Tir à l'arc, épreuve individuelle ses 46	NONE	Y	N					
AR	0	070	Z	47	Y	0	Archery Individual Session 47	Archery Individual Session 47	Tir à l'arc, épreuve individuelle session 47	Tir à l'arc, épreuve individuelle ses 47	NONE	Y	N					
AR	0	070	Z	48	Y	0	Archery Individual Session 48	Archery Individual Session 48	Tir à l'arc, épreuve individuelle session 48	Tir à l'arc, épreuve individuelle ses 48	NONE	Y	N					
AR	0	070	Z	49	Y	0	Archery Individual Session 49	Archery Individual Session 49	Tir à l'arc, épreuve individuelle session 49	Tir à l'arc, épreuve individuelle ses 49	NONE	Y	N					
AR	0	070	Z	50	Y	0	Archery Individual Session 50	Archery Individual Session 50	Tir à l'arc, épreuve individuelle session 50	Tir à l'arc, épreuve individuelle ses 50	NONE	Y	N					
AR	0	470	Z	01	Y	0	Archery Team Session 1	Archery Team Session 1	Tir à l'arc, épreuve par équipes session 1	Tir à l'arc, épreuve par équipes ses. 1	NONE	Y	N					
AR	0	470	Z	02	Y	0	Archery Team Session 2	Archery Team Session 2	Tir à l'arc, épreuve par équipes session 2	Tir à l'arc, épreuve par équipes ses. 2	NONE	Y	N					
AR	0	470	Z	03	Y	0	Archery Team Session 3	Archery Team Session 3	Tir à l'arc, épreuve par équipes session 3	Tir à l'arc, épreuve par équipes ses. 3	NONE	Y	N					
AR	0	470	Z	04	Y	0	Archery Team Session 4	Archery Team Session 4	Tir à l'arc, épreuve par équipes session 4	Tir à l'arc, épreuve par équipes ses. 4	NONE	Y	N					
AR	0	470	Z	05	Y	0	Archery Team Session 5	Archery Team Session 5	Tir à l'arc, épreuve par équipes session 5	Tir à l'arc, épreuve par équipes ses. 5	NONE	Y	N					
AR	0	470	Z	06	Y	0	Archery Team Session 6	Archery Team Session 6	Tir à l'arc, épreuve par équipes session 6	Tir à l'arc, épreuve par équipes ses. 6	NONE	Y	N					
AR	0	470	Z	07	Y	0	Archery Team Session 7	Archery Team Session 7	Tir à l'arc, épreuve par équipes session 7	Tir à l'arc, épreuve par équipes ses. 7	NONE	Y	N					
AR	0	470	Z	08	Y	0	Archery Team Session 8	Archery Team Session 8	Tir à l'arc, épreuve par équipes session 8	Tir à l'arc, épreuve par équipes ses. 8	NONE	Y	N					
AR	0	470	Z	09	Y	0	Archery Team Session 9	Archery Team Session 9	Tir à l'arc, épreuve par équipes session 9	Tir à l'arc, épreuve par équipes ses. 9	NONE	Y	N					
AR	0	470	Z	10	Y	0	Archery Team Session 10	Archery Team Session 10	Tir à l'arc, épreuve par équipes session 10	Tir à l'arc, épreuve par équipes ses. 10	NONE	Y	N					
AR	0	470	Z	11	Y	0	Archery Team Session 11	Archery Team Session 11	Tir à l'arc, épreuve par équipes session 11	Tir à l'arc, épreuve par équipes ses. 11	NONE	Y	N					
AR	0	470	Z	12	Y	0	Archery Team Session 12	Archery Team Session 12	Tir à l'arc, épreuve par équipes session 12	Tir à l'arc, épreuve par équipes ses. 12	NONE	Y	N					
AR	0	470	Z	13	Y	0	Archery Team Session 13	Archery Team Session 13	Tir à l'arc, épreuve par équipes session 13	Tir à l'arc, épreuve par équipes ses. 13	NONE	Y	N					
AR	0	470	Z	14	Y	0	Archery Team Session 14	Archery Team Session 14	Tir à l'arc, épreuve par équipes session 14	Tir à l'arc, épreuve par équipes ses. 14	NONE	Y	N					
AR	0	470	Z	15	Y	0	Archery Team Session 15	Archery Team Session 15	Tir à l'arc, épreuve par équipes session 15	Tir à l'arc, épreuve par équipes ses. 15	NONE	Y	N					
AR	0	470	Z	16	Y	0	Archery Team Session 16	Archery Team Session 16	Tir à l'arc, épreuve par équipes session 16	Tir à l'arc, épreuve par équipes ses. 16	NONE	Y	N					
AR	0	470	Z	17	Y	0	Archery Team Session 17	Archery Team Session 17	Tir à l'arc, épreuve par équipes session 17	Tir à l'arc, épreuve par équipes ses. 17	NONE	Y	N					
AR	0	470	Z	18	Y	0	Archery Team Session 18	Archery Team Session 18	Tir à l'arc, épreuve par équipes session 18	Tir à l'arc, épreuve par équipes ses. 18	NONE	Y	N					
AR	0	470	Z	19	Y	0	Archery Team Session 19	Archery Team Session 19	Tir à l'arc, épreuve par équipes session 19	Tir à l'arc, épreuve par équipes ses. 19	NONE	Y	N					
AR	0	470	Z	20	Y	0	Archery Team Session 20	Archery Team Session 20	Tir à l'arc, épreuve par équipes session 20	Tir à l'arc, épreuve par équipes ses. 20	NONE	Y	N					
AR	0	470	Z	21	Y	0	Archery Team Session 21	Archery Team Session 21	Tir à l'arc, épreuve par équipes session 21	Tir à l'arc, épreuve par équipes ses. 21	NONE	Y	N					
AR	0	470	Z	22	Y	0	Archery Team Session 22	Archery Team Session 22	Tir à l'arc, épreuve par équipes session 22	Tir à l'arc, épreuve par équipes ses. 22	NONE	Y	N					
AR	0	470	Z	23	Y	0	Archery Team Session 23	Archery Team Session 23	Tir à l'arc, épreuve par équipes session 23	Tir à l'arc, épreuve par équipes ses. 23	NONE	Y	N					
AR	0	470	Z	24	Y	0	Archery Team Session 24	Archery Team Session 24	Tir à l'arc, épreuve par équipes session 24	Tir à l'arc, épreuve par équipes ses. 24	NONE	Y	N					
AR	0	470	Z	25	Y	0	Archery Team Session 25	Archery Team Session 25	Tir à l'arc, épreuve par équipes session 25	Tir à l'arc, épreuve par équipes ses. 25	NONE	Y	N					
AR	0	470	Z	26	Y	0	Archery Team Session 26	Archery Team Session 26	Tir à l'arc, épreuve par équipes session 26	Tir à l'arc, épreuve par équipes ses. 26	NONE	Y	N					
AR	0	470	Z	27	Y	0	Archery Team Session 27	Archery Team Session 27	Tir à l'arc, épreuve par équipes session 27	Tir à l'arc, épreuve par équipes ses. 27	NONE	Y	N					
AR	0	470	Z	28	Y	0	Archery Team Session 28	Archery Team Session 28	Tir à l'arc, épreuve par équipes session 28	Tir à l'arc, épreuve par équipes ses. 28	NONE	Y	N					
AR	0	470	Z	29	Y	0	Archery Team Session 29	Archery Team Session 29	Tir à l'arc, épreuve par équipes session 29	Tir à l'arc, épreuve par équipes ses. 29	NONE	Y	N					
AR	0	470	Z	30	Y	0	Archery Team Session 30	Archery Team Session 30	Tir à l'arc, épreuve par équipes session 30	Tir à l'arc, épreuve par équipes ses. 30	NONE	Y	N					
AR	0	470	Z	31	Y	0	Archery Team Session 31	Archery Team Session 31	Tir à l'arc, épreuve par équipes session 31	Tir à l'arc, épreuve par équipes ses. 31	NONE	Y	N					
AR	0	470	Z	32	Y	0	Archery Team Session 32	Archery Team Session 32	Tir à l'arc, épreuve par équipes session 32	Tir à l'arc, épreuve par équipes ses. 32	NONE	Y	N					
AR	0	470	Z	33	Y	0	Archery Team Session 33	Archery Team Session 33	Tir à l'arc, épreuve par équipes session 33	Tir à l'arc, épreuve par équipes ses. 33	NONE	Y	N					
AR	0	470	Z	34	Y	0	Archery Team Session 34	Archery Team Session 34	Tir à l'arc, épreuve par équipes session 34	Tir à l'arc, épreuve par équipes ses. 34	NONE	Y	N					
AR	0	470	Z	35	Y	0	Archery Team Session 35	Archery Team Session 35	Tir à l'arc, épreuve par équipes session 35	Tir à l'arc, épreuve par équipes ses. 35	NONE	Y	N					
AR	0	470	Z	36	Y	0	Archery Team Session 36	Archery Team Session 36	Tir à l'arc, épreuve par équipes session 36	Tir à l'arc, épreuve par équipes ses. 36	NONE	Y	N					
AR	0	470	Z	37	Y	0	Archery Team Session 37	Archery Team Session 37	Tir à l'arc, épreuve par équipes session 37	Tir à l'arc, épreuve par équipes ses. 37	NONE	Y	N					
AR	0	470	Z	38	Y	0	Archery Team Session 38	Archery Team Session 38	Tir à l'arc, épreuve par équipes session 38	Tir à l'arc, épreuve par équipes ses. 38	NONE	Y	N					
AR	0	470	Z	39	Y	0	Archery Team Session 39	Archery Team Session 39	Tir à l'arc, épreuve par équipes session 39	Tir à l'arc, épreuve par équipes ses. 39	NONE	Y	N					
AR	0	470	Z	40	Y	0	Archery Team Session 40	Archery Team Session 40	Tir à l'arc, épreuve par équipes session 40	Tir à l'arc, épreuve par équipes ses. 40	NONE	Y	N					
AR	0	470	Z	41	Y	0	Archery Team Session 41	Archery Team Session 41	Tir à l'arc, épreuve par équipes session 41	Tir à l'arc, épreuve par équipes ses. 41	NONE	Y	N					
AR	0	470	Z	42	Y	0	Archery Team Session 42	Archery Team Session 42	Tir à l'arc, épreuve par équipes session 42	Tir à l'arc, épreuve par équipes ses. 42	NONE	Y	N					
AR	0	470	Z	43	Y	0	Archery Team Session 43	Archery Team Session 43	Tir à l'arc, épreuve par équipes session 43	Tir à l'arc, épreuve par équipes ses. 43	NONE	Y	N					
AR	0	470	Z	44	Y	0	Archery Team Session 44	Archery Team Session 44	Tir à l'arc, épreuve par équipes session 44	Tir à l'arc, épreuve par équipes ses. 44	NONE	Y	N					
AR	0	470	Z	45	Y	0	Archery Team Session 45	Archery Team Session 45	Tir à l'arc, épreuve par équipes session 45	Tir à l'arc, épreuve par équipes ses. 45	NONE	Y	N					
AR	0	470	Z	46	Y	0	Archery Team Session 46	Archery Team Session 46	Tir à l'arc, épreuve par équipes session 46	Tir à l'arc, épreuve par équipes ses. 46	NONE	Y	N					
AR	0	470	Z	47	Y	0	Archery Team Session 47	Archery Team Session 47	Tir à l'arc, épreuve par équipes session 47	Tir à l'arc, épreuve par équipes ses. 47	NONE	Y	N					
AR	0	470	Z	48	Y	0	Archery Team Session 48	Archery Team Session 48	Tir à l'arc, épreuve par équipes session 48	Tir à l'arc, épreuve par équipes ses. 48	NONE	Y	N					
AR	0	470	Z	49	Y	0	Archery Team Session 49	Archery Team Session 49	Tir à l'arc, épreuve par équipes session 49	Tir à l'arc, épreuve par équipes ses. 49	NONE	Y	N					
AR	0	470	Z	50	Y	0	Archery Team Session 50	Archery Team Session 50	Tir à l'arc, épreuve par équipes session 50	Tir à l'arc, épreuve par équipes ses. 50	NONE	Y	N					
AR	0	LCG	0	00	N	0	Lord's Cricket Ground	Lord's Cricket Ground	Lord's Cricket Ground	Lord's Cricket Ground	NONE	N	N					
AR	M	000	0	00	N	0	Archery Men	Archery Men	Tir à l'arc - hommes	Tir à l'arc - hommes	NONE	N	N					
AR	M	070	0	00	N	0	Men's Individual	Men's Individual	Épreuve individuelle - hommes	Épreuve individuelle - hommes	NONE	N	N					
AR	M	070	1	00	N	0	Men's Individual Final Round	Men's Individual Final Round	Épreuve individuelle - hommes, finales	Individuelle - hom., finales	NONE	N	N					
AR	M	070	1	01	Y	1	Men's Individual Gold Medal Match	Men's Individual Gold Medal Match	Épreuve individuelle - hommes, match pour la médaille d'or	Individuelle - hom., match or	HATH	N	Y					
AR	M	070	1	02	Y	2	Men's Individual Bronze Medal Match	Men's Individual Bronze Medal Match	Épreuve individuelle - hommes, match pour la médaille de bronze	Individuelle - hom., match bronze	HATH	N	Y					
AR	M	070	2	00	N	0	Men's Individual Semifinals	Men's Individual Semifinals	Épreuve individuelle - hommes, demi-finales	Individuelle - hom., demi-finales	NONE	N	N					
AR	M	070	2	01	Y	0	Men's Individual Semifinal - Match 157	Men's Individual Semifinal - Match 157	Épreuve individuelle - hommes, demi-finale	Individuelle - hom., demi-finale	HATH	N	Y					
AR	M	070	2	02	Y	0	Men's Individual Semifinal - Match 158	Men's Individual Semifinal - Match 158	Épreuve individuelle - hommes, demi-finale	Individuelle - hom., demi-finale	HATH	N	Y					
AR	M	070	3	00	N	0	Men's Individual Quarterfinals	Men's Individual Quarterfinals	Épreuve individuelle - hommes, quarts de finale	Individuelle - hom., quarts de finale	NONE	N	N					
AR	M	070	3	01	Y	0	Men's Individual Quarterfinal - Match 154	Men's Ind. Quarterfinal - Match 154	Épreuve individuelle - hommes, quart de finale	Individuelle - hom., quart de finale	HATH	N	Y					
AR	M	070	3	02	Y	0	Men's Individual Quarterfinal - Match 153	Men's Ind. Quarterfinal - Match 153	Épreuve individuelle - hommes, quart de finale	Individuelle - hom., quart de finale	HATH	N	Y					
AR	M	070	3	03	Y	0	Men's Individual Quarterfinal - Match 155	Men's Ind. Quarterfinal - Match 155	Épreuve individuelle - hommes, quart de finale	Individuelle - hom., quart de finale	HATH	N	Y					
AR	M	070	3	04	Y	0	Men's Individual Quarterfinal - Match 156	Men's Ind. Quarterfinal - Match 156	Épreuve individuelle - hommes, quart de finale	Individuelle - hom., quart de finale	HATH	N	Y					
AR	M	070	4	00	N	0	Men's Individual 1/8 Eliminations	Men's Individual 1/8 Eliminations	Épreuve individuelle - hommes, éliminatoires (8e de finale)	Individuelle - hom., élim. (1/8)	NONE	N	N					
AR	M	070	4	01	Y	0	Men's Individual 1/8 Eliminations - Match 148	Men's Ind. 1/8 Eliminations - Match 148	Épreuve individuelle - hommes, éliminatoires (8e de finale)	Individuelle - hom., élim. (1/8)	HATH	N	Y					
AR	M	070	4	02	Y	0	Men's Individual 1/8 Eliminations - Match 147	Men's Ind. 1/8 Eliminations - Match 147	Épreuve individuelle - hommes, éliminatoires (8e de finale)	Individuelle - hom., élim. (1/8)	HATH	N	Y					
AR	M	070	4	03	Y	0	Men's Individual 1/8 Eliminations - Match 146	Men's Ind. 1/8 Eliminations - Match 146	Épreuve individuelle - hommes, éliminatoires (8e de finale)	Individuelle - hom., élim. (1/8)	HATH	N	Y					
AR	M	070	4	04	Y	0	Men's Individual 1/8 Eliminations - Match 145	Men's Ind. 1/8 Eliminations - Match 145	Épreuve individuelle - hommes, éliminatoires (8e de finale)	Individuelle - hom., élim. (1/8)	HATH	N	Y					
AR	M	070	4	05	Y	0	Men's Individual 1/8 Eliminations - Match 149	Men's Ind. 1/8 Eliminations - Match 149	Épreuve individuelle - hommes, éliminatoires (8e de finale)	Individuelle - hom., élim. (1/8)	HATH	N	Y					
AR	M	070	4	06	Y	0	Men's Individual 1/8 Eliminations - Match 150	Men's Ind. 1/8 Eliminations - Match 150	Épreuve individuelle - hommes, éliminatoires (8e de finale)	Individuelle - hom., élim. (1/8)	HATH	N	Y					
AR	M	070	4	07	Y	0	Men's Individual 1/8 Eliminations - Match 151	Men's Ind. 1/8 Eliminations - Match 151	Épreuve individuelle - hommes, éliminatoires (8e de finale)	Individuelle - hom., élim. (1/8)	HATH	N	Y					
