Discipline	Gender	Event	phase	Eventunit	schedule	medalflag	ENG longdescription	ENG Description	FRA longdescription	FRA Description	Eventunittype	cisSchedule	infoSchedule	scheduleFilter11	scheduleFilter12	scheduleFilter21	scheduleFilter22	groupCriteria
WR	M	199	5	14	Y	0	Men's Greco-Roman 120 kg Qualification	Men's GR 120 kg Qualification	Lutte gréco-romaine, 120 kg - hommes, qualification	Gréco-romaine,120 kg - h, qualification	HATH	N	Y					
WR	M	199	5	15	Y	0	Men's Greco-Roman 120 kg Qualification	Men's GR 120 kg Qualification	Lutte gréco-romaine, 120 kg - hommes, qualification	Gréco-romaine,120 kg - h, qualification	HATH	N	Y					
WR	M	199	5	16	Y	0	Men's Greco-Roman 120 kg Qualification	Men's GR 120 kg Qualification	Lutte gréco-romaine, 120 kg - hommes, qualification	Gréco-romaine,120 kg - h, qualification	HATH	N	Y					
WR	M	199	M	00	Y	0	Men's Greco-Roman 120 kg Victory Ceremony	Men's GR 120 kg Victory Ceremony	Lutte gréco-romaine, 120 kg - hommes, remise des médailles	Gréco-romaine, 120 kg - h, remise méd.	NONE	N	Y					
WR	M	200	0	00	N	0	Men's Freestyle	Men's Freestyle	Lutte libre - hommes	Lutte libre - hommes	NONE	N	N					
WR	M	200	Y	00	N	0	Men's Freestyle Daily Schedule	Men's Freestyle Daily Schedule	Lutte libre - hommes, calendrier par jour	Libre - hommes, calendrier par jour	NONE	N	N					
WR	M	200	Y	01	N	0	Men's Freestyle Day 1	Men's Freestyle Day 1	Lutte libre - hommes, Jour 1	Lutte libre - hommes, Jour 1	NONE	N	N					
WR	M	200	Y	02	N	0	Men's Freestyle Day 2	Men's Freestyle Day 2	Lutte libre - hommes, Jour 2	Lutte libre - hommes, Jour 2	NONE	N	N					
WR	M	200	Y	03	N	0	Men's Freestyle Day 3	Men's Freestyle Day 3	Lutte libre - hommes, Jour 3	Lutte libre - hommes, Jour 3	NONE	N	N					
WR	M	200	Y	04	N	0	Men's Freestyle Day 4	Men's Freestyle Day 4	Lutte libre - hommes, Jour 4	Lutte libre - hommes, Jour 4	NONE	N	N					
WR	M	200	Y	05	N	0	Men's Freestyle Day 5	Men's Freestyle Day 5	Lutte libre - hommes, Jour 5	Lutte libre - hommes, Jour 5	NONE	N	N					
WR	M	200	Y	06	N	0	Men's Freestyle Day 6	Men's Freestyle Day 6	Lutte libre - hommes, Jour 6	Lutte libre - hommes, Jour 6	NONE	N	N					
WR	M	200	Y	07	N	0	Men's Freestyle Day 7	Men's Freestyle Day 7	Lutte libre - hommes, Jour 7	Lutte libre - hommes, Jour 7	NONE	N	N					
WR	M	200	Y	08	N	0	Men's Freestyle Day 8	Men's Freestyle Day 8	Lutte libre - hommes, Jour 8	Lutte libre - hommes, Jour 8	NONE	N	N					
WR	M	200	Y	09	N	0	Men's Freestyle Day 9	Men's Freestyle Day 9	Lutte libre - hommes, Jour 9	Lutte libre - hommes, Jour 9	NONE	N	N					
WR	M	200	Y	10	N	0	Men's Freestyle Day 10	Men's Freestyle Day 10	Lutte libre - hommes, Jour 10	Lutte libre - hommes, Jour 10	NONE	N	N					
WR	M	200	Y	11	N	0	Men's Freestyle Day 11	Men's Freestyle Day 11	Lutte libre - hommes, Jour 11	Lutte libre - hommes, Jour 11	NONE	N	N					
WR	M	200	Y	12	N	0	Men's Freestyle Day 12	Men's Freestyle Day 12	Lutte libre - hommes, Jour 12	Lutte libre - hommes, Jour 12	NONE	N	N					
WR	M	200	Y	13	N	0	Men's Freestyle Day 13	Men's Freestyle Day 13	Lutte libre - hommes, Jour 13	Lutte libre - hommes, Jour 13	NONE	N	N					
WR	M	200	Y	14	N	0	Men's Freestyle Day 14	Men's Freestyle Day 14	Lutte libre - hommes, Jour 14	Lutte libre - hommes, Jour 14	NONE	N	N					
WR	M	200	Y	15	N	0	Men's Freestyle Day 15	Men's Freestyle Day 15	Lutte libre - hommes, Jour 15	Lutte libre - hommes, Jour 15	NONE	N	N					
WR	M	200	Y	16	N	0	Men's Freestyle Day 16	Men's Freestyle Day 16	Lutte libre - hommes, Jour 16	Lutte libre - hommes, Jour 16	NONE	N	N					
WR	M	200	Y	17	N	0	Men's Freestyle Day 17	Men's Freestyle Day 17	Lutte libre - hommes, Jour 17	Lutte libre - hommes, Jour 17	NONE	N	N					
WR	M	200	Y	18	N	0	Men's Freestyle Day 18	Men's Freestyle Day 18	Lutte libre - hommes, Jour 18	Lutte libre - hommes, Jour 18	NONE	N	N					
WR	M	200	Y	19	N	0	Men's Freestyle Day 19	Men's Freestyle Day 19	Lutte libre - hommes, Jour 19	Lutte libre - hommes, Jour 19	NONE	N	N					
WR	M	200	Y	20	N	0	Men's Freestyle Day 20	Men's Freestyle Day 20	Lutte libre - hommes, Jour 20	Lutte libre - hommes, Jour 20	NONE	N	N					
WR	M	200	Y	21	N	0	Men's Freestyle Day 21	Men's Freestyle Day 21	Lutte libre - hommes, Jour 21	Lutte libre - hommes, Jour 21	NONE	N	N					
WR	M	200	Y	22	N	0	Men's Freestyle Day 22	Men's Freestyle Day 22	Lutte libre - hommes, Jour 22	Lutte libre - hommes, Jour 22	NONE	N	N					
WR	M	200	Y	23	N	0	Men's Freestyle Day 23	Men's Freestyle Day 23	Lutte libre - hommes, Jour 23	Lutte libre - hommes, Jour 23	NONE	N	N					
WR	M	200	Y	24	N	0	Men's Freestyle Day 24	Men's Freestyle Day 24	Lutte libre - hommes, Jour 24	Lutte libre - hommes, Jour 24	NONE	N	N					
WR	M	200	Y	25	N	0	Men's Freestyle Day 25	Men's Freestyle Day 25	Lutte libre - hommes, Jour 25	Lutte libre - hommes, Jour 25	NONE	N	N					
WR	M	200	Y	26	N	0	Men's Freestyle Day 26	Men's Freestyle Day 26	Lutte libre - hommes, Jour 26	Lutte libre - hommes, Jour 26	NONE	N	N					
WR	M	200	Y	27	N	0	Men's Freestyle Day 27	Men's Freestyle Day 27	Lutte libre - hommes, Jour 27	Lutte libre - hommes, Jour 27	NONE	N	N					
WR	M	200	Y	28	N	0	Men's Freestyle Day 28	Men's Freestyle Day 28	Lutte libre - hommes, Jour 28	Lutte libre - hommes, Jour 28	NONE	N	N					
WR	M	200	Y	29	N	0	Men's Freestyle Day 29	Men's Freestyle Day 29	Lutte libre - hommes, Jour 29	Lutte libre - hommes, Jour 29	NONE	N	N					
WR	M	200	Y	30	N	0	Men's Freestyle Day 30	Men's Freestyle Day 30	Lutte libre - hommes, Jour 30	Lutte libre - hommes, Jour 30	NONE	N	N					
WR	M	200	Y	31	N	0	Men's Freestyle Day 31	Men's Freestyle Day 31	Lutte libre - hommes, Jour 31	Lutte libre - hommes, Jour 31	NONE	N	N					
WR	M	200	Z	00	N	0	Men's Freestyle Sessions	Men's Freestyle Sessions	Lutte libre - hommes, sessions	Lutte libre - hommes, sessions	NONE	N	N					
WR	M	200	Z	01	Y	0	Men's Freestyle Session 1	Men's Freestyle Session 1	Lutte libre - hommes, session 1	Lutte libre - hommes, session 1	NONE	Y	N					
WR	M	200	Z	02	Y	0	Men's Freestyle Session 2	Men's Freestyle Session 2	Lutte libre - hommes, session 2	Lutte libre - hommes, session 2	NONE	Y	N					
WR	M	200	Z	03	Y	0	Men's Freestyle Session 3	Men's Freestyle Session 3	Lutte libre - hommes, session 3	Lutte libre - hommes, session 3	NONE	Y	N					
WR	M	200	Z	04	Y	0	Men's Freestyle Session 4	Men's Freestyle Session 4	Lutte libre - hommes, session 4	Lutte libre - hommes, session 4	NONE	Y	N					
WR	M	200	Z	05	Y	0	Men's Freestyle Session 5	Men's Freestyle Session 5	Lutte libre - hommes, session 5	Lutte libre - hommes, session 5	NONE	Y	N					
WR	M	200	Z	06	Y	0	Men's Freestyle Session 6	Men's Freestyle Session 6	Lutte libre - hommes, session 6	Lutte libre - hommes, session 6	NONE	Y	N					
WR	M	255	0	00	N	0	Men's Freestyle 55 kg	Men's FR 55 kg	Lutte libre, 55 kg - hommes	Lutte libre, 55 kg - hommes	NONE	N	N					
WR	M	255	1	00	N	0	Men's Freestyle 55 kg Finals	Men's FR 55 kg Finals	Lutte libre, 55 kg - hommes, finales	Libre, 55 kg - hommes, finales	NONE	N	N					
WR	M	255	1	01	Y	1	Men's Freestyle 55 kg Gold Medal	Men's FR 55 kg Gold Medal	Lutte libre, 55 kg - hommes, combat pour la médaille d'or	Libre, 55 kg - hommes, médaille d'or	HATH	N	Y					
WR	M	255	2	00	N	0	Men's Freestyle 55 kg Semifinals/Bronze Medal Finals	Men's FR 55 kg Semifinals/Bronze Finals	Lutte libre, 55 kg - hommes, demi-finales / finales pour la médaille de bronze	Libre, 55 kg - h, 1/2 finales/bronze	NONE	N	N					
WR	M	255	2	01	Y	0	Men's Freestyle 55 kg Semifinal	Men's FR 55 kg Semifinal	Lutte libre, 55 kg - hommes, demi-finale	Libre, 55 kg - hommes, 1/2 finale	HATH	N	Y					
WR	M	255	2	02	Y	0	Men's Freestyle 55 kg Semifinal	Men's FR 55 kg Semifinal	Lutte libre, 55 kg - hommes, demi-finale	Libre, 55 kg - hommes, 1/2 finale	HATH	N	Y					
WR	M	255	2	50	N	0	Men's Freestyle 55 kg Bronze Medal Finals	Men's FR 55 kg Bronze Medal Finals	Lutte libre, 55 kg - hommes, finales pour la médaille de bronze	Libre, 55 kg - hommes, finales bronze	NONE	N	N					
WR	M	255	2	51	Y	2	Men's Freestyle 55 kg Bronze	Men's FR 55 kg Bronze	Lutte libre, 55 kg - hommes, repêchage bronze	Libre, 55 kg - hommes, repêchage bronze	HATH	N	Y					
WR	M	255	2	52	Y	2	Men's Freestyle 55 kg Bronze	Men's FR 55 kg Bronze	Lutte libre, 55 kg - hommes, repêchage bronze	Libre, 55 kg - hommes, repêchage bronze	HATH	N	Y					
WR	M	255	3	00	N	0	Men's Freestyle 55 kg Quarterfinals/Repechage Round 2 	Men's FR 55 kg Quarterfinals/Rep Rnd 2	Lutte libre, 55 kg - hommes, quarts de finale / 2e tour de repêchage	Libre, 55 kg - h, 1/4 finale/repêchage 2	NONE	N	N					
WR	M	255	3	01	Y	0	Men's Freestyle 55 kg Quarterfinal	Men's FR 55 kg Quarterfinal	Lutte libre, 55 kg - hommes, quart de finale	Libre, 55 kg - hommes, 1/4 finale	HATH	N	Y					
WR	M	255	3	02	Y	0	Men's Freestyle 55 kg Quarterfinal	Men's FR 55 kg Quarterfinal	Lutte libre, 55 kg - hommes, quart de finale	Libre, 55 kg - hommes, 1/4 finale	HATH	N	Y					
WR	M	255	3	03	Y	0	Men's Freestyle 55 kg Quarterfinal	Men's FR 55 kg Quarterfinal	Lutte libre, 55 kg - hommes, quart de finale	Libre, 55 kg - hommes, 1/4 finale	HATH	N	Y					
WR	M	255	3	04	Y	0	Men's Freestyle 55 kg Quarterfinal	Men's FR 55 kg Quarterfinal	Lutte libre, 55 kg - hommes, quart de finale	Libre, 55 kg - hommes, 1/4 finale	HATH	N	Y					
WR	M	255	3	50	N	0	Men's Freestyle 55 kg Repechage Round 2	Men's FR 55 kg Repechage Rnd 2	Lutte libre, 55 kg - hommes, 2e tour repêchage	Libre, 55 kg - hommes, 2e repêchage	NONE	N	N					
WR	M	255	3	51	Y	0	Men's Freestyle 55 kg Repechage Round 2	Men's FR 55 kg Repechage Rnd 2	Lutte libre, 55 kg - hommes, 2e tour repêchage	Libre, 55 kg - hommes, 2e repêchage	HATH	N	Y					
WR	M	255	3	52	Y	0	Men's Freestyle 55 kg Repechage Round 2	Men's FR 55 kg Repechage Rnd 2	Lutte libre, 55 kg - hommes, 2e tour de repêchage	Libre, 55 kg - hommes, 2e repêchage	HATH	N	Y					
WR	M	255	4	00	N	0	Men's Freestyle 55 kg 1/8 Finals/Repechage Round 1	Men's FR 55 kg 1/8 Finals/Rep Rnd 1	Lutte libre, 55 kg - hommes, 8es de finale / 1er tour de repêchage	Libre, 55 kg - h, 1/8 finale/repêchage 1	NONE	N	N					
WR	M	255	4	01	Y	0	Men's Freestyle 55 kg 1/8 Final	Men's FR 55 kg 1/8 Final	Lutte libre, 55 kg - hommes, 8e de finale	Libre, 55 kg - hommes, 1/8 finale	HATH	N	Y					
WR	M	255	4	02	Y	0	Men's Freestyle 55 kg 1/8 Final	Men's FR 55 kg 1/8 Final	Lutte libre, 55 kg - hommes, 8e de finale	Libre, 55 kg - hommes, 1/8 finale	HATH	N	Y					
WR	M	255	4	03	Y	0	Men's Freestyle 55 kg 1/8 Final	Men's FR 55 kg 1/8 Final	Lutte libre, 55 kg - hommes, 8e de finale	Libre, 55 kg - hommes, 1/8 finale	HATH	N	Y					
