Id	competition	ENG longdescription	ENG Description	FRA longdescription	FRA Description
OLD	Y	Old Trafford	Old Trafford	Old Trafford	Old Trafford
OPK	Y	Olympic Park	Olympic Park	Parc olympique	Parc olympique
RAB	Y	Royal Artillery Barracks	Royal Artillery Barracks	Royal Artillery Barracks	Royal Artillery Barracks
RHV	N	Rowing and Canoe Sprint Village	RO and CS Village	Village de l'aviron et de la course en ligne (CK)	Village aviron/CK
RMH	N	Hotel Rembrandt	Hotel Rembrandt	FRA Hotel Rembrandt	FRA Hotel Rembrandt
RRR	Y	Road Race Route	Road Race Route	Parcours de la course sur route	Parcours de la course ...
SJP	Y	St James' Park	St James' Park	St James' Park	St James' Park
STA	Y	Olympic Stadium	Olympic Stadium	Stade olympique	Stade olympique
TNG	N	Training Venues	Training Venues	Sites d'entraînement	Sites d'entraînement
TOC	N	Technology Operations Centre	Technology Ops Centre	Centre des opérations technologiques	Centre des opé. techno.
VAB	Y	Velodrome and Basketball	Velodrome and Basketball	Vélodrome et Basketball	Vélodrome et Basketball
VBB	Y	Velodrome, BMX, Bball	Velodrome, BMX, Bball	Velodrome, BMX, Bball	Velodrome, BMX, Bball
VEL	Y	Velodrome	Velodrome	Vélodrome	Vélodrome
VEP	Y	Velopark	Velopark	Velopark	Velopark
VNH	N	The Venue Hotel	Venue Hotel	FRA The Venue Hotel	FRA Venue Hotel
WAP	Y	Weymouth and Portland	Weymouth and Portland	Weymouth and Portland	Weymouth and Portland
WEA	Y	Wembley Arena	Wembley Arena	Wembley Arena	Wembley Arena
WEH	N	Wembley Plaza hotel	Wembley Plaza hotel	Hôtel Wembley Plaza	Hôtel Wembley Plaza
WEM	Y	Wembley Stadium	Wembley Stadium	Wembley Stadium	Wembley Stadium
WEP	Y	Wembley Stadium and Arena	Wembley Stadium and Arena	Wembley Stadium and Arena	Wembley Stadium and Arena
WEV	N	Sailing Village	Sailing Village	Village de la voile	Village de la voile
WIM	Y	Wimbledon	Wimbledon	Wimbledon	Wimbledon
