Discipline	Gender	Event	phase	type	ENG longdescription	ENG Description	FRA longdescription	FRA Description
AF	0	CMD	0	8	Comedy	Comedy	Comedy	Comedy
AF	0	CRC	0	8	Circus / Street Arts	Circus / Street Arts	Circus / Street Arts	Circus / Street Arts
AF	0	CUL	0	8	General	General	Général	Général
AF	0	CUL	1	8	General	General	Général	Général
AF	0	CUL	2	8	General	General	Général	Général
AF	0	DGT	0	8	Digital / Film / Video	Digital / Film / Video	Digital / Film / Video	Digital / Film / Video
AF	0	DNC	0	8	Dance	Dance	Dance	Dance
AF	0	LTR	0	8	Literary Arts	Literary Arts	Literary Arts	Literary Arts
AF	0	MSC	0	8	Music	Music	Music	Music
AF	0	SPO	0	8	General	General	Général	Général
AF	0	THT	0	8	Theatre	Theatre	Theatre	Theatre
AF	0	VSL	0	8	Visual Arts	Visual Arts	Visual Arts	Visual Arts
AF	0	VSL	1	8	Visual Arts	Visual Arts	Visual Arts	Visual Arts
AQ	0	000	0	8	Aquatics Sport	Aquatics Sport	Natation	Natation
AR	0	000	0	8	Archery	Archery	Tir à l'arc	Tir à l'arc
AR	0	000	N	7	Archery - Draw	Archery - Draw	Tir a l'arc - tirage au sort	Tir a l'arc - tirage au sort
AR	0	000	Q	4	Archery Team Captains Meeting	Archery Team Captains Meeting	Tir à l'arc - réunion des chefs d'équipe	Tir à l'arc - réunion des chefs d'équipe
AR	0	000	Y	8	Archery Daily Schedule	Archery Daily Schedule	Tir à l'arc - calendrier par jour	Tir à l'arc - calendrier par jour
AR	0	070	Z	8	Archery Individual - Session	Archery Individual - Session	Tir à l'arc - épreuve individuelle	Tir à l'arc - épreuve individuelle
AR	0	470	Z	8	Archery Team - Session	Archery Team - Session	Tir à l'arc - épreuve par équipes	Tir à l'arc - épreuve par équipes
AR	0	LCG	0	8	Lord's Cricket Ground	Lord's Cricket Ground	Lord's Cricket Ground	Lord's Cricket Ground
AR	M	000	0	8	Men	Men	Hommes	Hommes
AR	M	070	0	8	Men's Individual	Men's Individual	Épreuve individuelle - hommes	Épreuve individuelle - hommes
AR	M	070	1	3	Men's Individual Medal Matches	Men's Individual Medal Matches	Épreuve individuelle - hommes, matches pour les médailles	Ép. ind. - hommes, matches médailles
AR	M	070	2	3	Men's Individual Semifinals	Men's Individual Semifinals	Épreuve individuelle - hommes, demi-finales	Ép. ind. - hommes, demi-finales
AR	M	070	3	3	Men's Individual Quarterfinals	Men's Individual Quarterfinals	Épreuve individuelle - hommes, quarts de finale	Ép. ind. - hommes, 1/4 finale
AR	M	070	4	3	Men's Individual 1/8 Eliminations	Men's Individual 1/8 Eliminations	Épreuve individuelle - hommes, éliminatoires (1/8 finale)	Ép. ind. - hommes, éliminatoires (1/8)
AR	M	070	5	3	Men's Individual 1/16 Eliminations	Men's Individual 1/16 Eliminations	Épreuve individuelle - hommes, éliminatoires (1/16 finale)	Ép. ind. - hommes, éliminatoires (1/16)
AR	M	070	6	3	Men's Individual 1/32 Eliminations	Men's Individual 1/32 Eliminations	Épreuve individuelle - hommes, éliminatoires (1/32 finale)	Ép. ind. - hommes, éliminatoires (1/32)
AR	M	070	9	3	Men's Individual Ranking Rounds	Men's Individual Ranking Rounds	Épreuve individuelle - hommes, tours de classement	Ép. ind. - hommes, classement
AR	M	070	M	6	Men's Individual Victory Ceremony	Men's Individual Victory Ceremony	Épreuve individuelle - hommes, cérémonie de remise des médailles	Ép. ind. - hommes, remise des médailles
AR	M	470	0	8	Men's Team	Men's Team	Épreuve par équipes - hommes	Épreuve par équipes - hommes
AR	M	470	1	3	Men's Team Medal Matches	Men's Team Medal Matches	Épreuve par équipes - hommes, matches pour les médailles	Ép. équipes - hommes, matches médailles
AR	M	470	2	3	Men's Team Semifinals	Men's Team Semifinals	Épreuve par équipes - hommes, demi-finales	Ép. équipes - hommes, demi-finales
AR	M	470	3	3	Men's Team 1/4 Eliminations	Men's Team 1/4 Eliminations	Épreuve équipes - hommes, éliminatoires (1/4 finale)	Ép. équipes - hom., éliminatoires (1/4)
AR	M	470	4	3	Men's Team 1/8 Eliminations	Men's Team 1/8 Eliminations	Épreuve par équipes - hommes, éliminatoires (1/8 finale)	Ép. équipes - hom., éliminatoires (1/8)
AR	M	470	9	3	Men's Team Ranking Rounds	Men's Team Ranking Rounds	Épreuve par équipes - hommes, tours de classement	Ép. équipes - hommes, classement
AR	M	470	M	6	Men's Team Victory Ceremony	Men's Team Victory Ceremony	Épreuve par équipes - hommes, cérémonie de remise des médailles	Ép. équipes - hommes, remise médailles
AR	W	000	0	8	Women	Women	Femmes	Femmes
AR	W	070	0	8	Women's Individual	Women's Individual	Épreuve individuelle - femmes	Épreuve individuelle - femmes
AR	W	070	1	3	Women's Individual Medal Matches	Women's Individual Medal Matches	Épreuve individuelle - femmes, matches pour les médailles	Ép. ind. - femmes, matches médailles
AR	W	070	2	3	Women's Individual Semifinals	Women's Individual Semifinals	Épreuve individuelle - femmes, demi-finales	Ép. ind. - femmes, demi-finales
AR	W	070	3	3	Women's Individual Quarterfinals	Women's Individual Quarterfinals	Épreuve individuelle - femmes, quarts de finale	Ép. ind. - femmes, 1/4 finale
AR	W	070	4	3	Women's Individual 1/8 Eliminations	Women's Individual 1/8 Eliminations	Épreuve individuelle - femmes, éliminatoires (1/8 finale)	Ép. ind. - femmes, éliminatoires (1/8)
AR	W	070	5	3	Women's Individual 1/16 Eliminations	Women's Individual 1/16 Eliminations	Épreuve individuelle - femmes, éliminatoires (1/16 finale)	Ép. ind. - femmes, éliminatoires (1/16)
AR	W	070	6	3	Women's Individual 1/32 Eliminations	Women's Individual 1/32 Eliminations	Épreuve individuelle - femmes, éliminatoires (1/32 finale)	Ép. ind. - femmes, éliminatoires (1/32)
AR	W	070	9	3	Women's Individual Ranking Rounds	Women's Individual Ranking Rounds	Épreuve individuelle - femmes, tours de classement	Ép. ind. - femmes, classement
AR	W	070	M	6	Women's Individual Victory Ceremony	Women's Individual Victory Ceremony	Épreuve individuelle - femmes, cérémonie de remise des médailles	Ép. ind. - femmes, remise des médailles
AR	W	470	0	8	Women's Team	Women's Team	Épreuve par équipes - femmes	Épreuve par équipes - femmes
AR	W	470	1	3	Women's Team Medal Matches	Women's Team Medal Matches	Épreuve par équipes - femmes, matches pour les médailles	Ép. équipes - femmes, matches médailles
AR	W	470	2	3	Women's Team Semifinals	Women's Team Semifinals	Épreuve par équipes - femmes, demi-finales	Ép. équipes - femmes, demi-finales
AR	W	470	3	3	Women's Team 1/4 Eliminations	Women's Team 1/4 Eliminations	Épreuve équipes - femmes, éliminatoires (1/4 finale)	Ép. équipes - fem., éliminatoires (1/4)
AR	W	470	4	3	Women's Team 1/8 Eliminations	Women's Team 1/8 Eliminations	Épreuve équipes - femmes, éliminatoires (1/8 finale)	Ép. équipes - fem., éliminatoires (1/8)
AR	W	470	9	3	Women's Team Ranking Rounds	Women's Team Ranking Rounds	Épreuve par équipes - femmes, tours de classement	Ép. équipes - femmes, classement
AR	W	470	M	6	Women's Team Victory Ceremony	Women's Team Victory Ceremony	Épreuve par équipes - femmes, cérémonie de remise des médailles	Ép. équipes - femmes, remise médailles
AT	0	000	0	8	Athletics	Athletics	Athlétisme	Athlétisme
AT	0	000	Y	8	Athletics Daily Schedule	Athletics Daily Schedule	Athlétisme - calendrier par jour	Athlétisme - calendrier par jour
AT	0	MLL	0	8	The Mall	The Mall	The Mall	The Mall
AT	0	STA	0	8	Olympic Stadium	Olympic Stadium	Stade olympique	Stade olympique
AT	M	000	0	8	Men	Men	Hommes	Hommes
AT	M	001	0	8	Men's 100m	Men's 100m	100 m - hommes	100 m - hommes
AT	M	001	1	3	Men's 100m Final	Men's 100m Final	100 m - hommes, finale	100 m - hommes, finale
AT	M	001	2	3	Men's 100m Semifinals	Men's 100m Semifinals	100 m - hommes, demi-finales	100 m - hommes, demi-finales
AT	M	001	9	3	Men's 100m Round 1	Men's 100m Round 1	100 m - hommes, 1er tour	100 m - hommes, 1er tour
AT	M	001	M	6	Men's 100m Victory Ceremony	Men's 100m Victory Ceremony	100 m - hommes, cérémonie de remise des médailles	100 m - hommes, remise méd.
AT	M	001	N	7	Men's 100m - Draw	Men's 100m - Draw	100 m - hommes, tirage au sort	100 m - hommes, tirage au sort
AT	M	001	P	3	Men's 100m Preliminary Round	Men's 100m Preliminary Round	100 m, hommes - tour préliminaire	100 m, hommes - tour préliminaire
AT	M	002	0	8	Men's 200m	Men's 200m	200 m - hommes	200 m - hommes
AT	M	002	1	3	Men's 200m Final	Men's 200m Final	200 m - hommes, finale	200 m - hommes, finale
AT	M	002	2	3	Men's 200m Semifinals	Men's 200m Semifinals	200 m - hommes, demi-finales	200 m - hommes, demi-finales
AT	M	002	9	3	Men's 200m Round 1	Men's 200m Round 1	200 m - hommes, 1er tour	200 m - hommes, 1er tour
AT	M	002	M	6	Men's 200m Victory Ceremony	Men's 200m Victory Ceremony	200 m - hommes, cérémonie de remise des médailles	200 m - hommes, remise méd.
AT	M	002	N	7	Men's 200m - Draw	Men's 200m - Draw	200 m - hommes, tirage au sort	200 m - hommes, tirage au sort
AT	M	004	0	8	Men's 400m	Men's 400m	400 m - hommes	400 m - hommes
AT	M	004	1	3	Men's 400m Final	Men's 400m Final	400 m - hommes, finale	400 m - hommes, finale
AT	M	004	2	3	Men's 400m Semifinals	Men's 400m Semifinals	400 m - hommes, demi-finales	400 m - hommes, demi-finales
AT	M	004	9	3	Men's 400m Round 1	Men's 400m Round 1	400 m - hommes, 1er tour	400 m - hommes, 1er tour
AT	M	004	M	6	Men's 400m Victory Ceremony	Men's 400m Victory Ceremony	400 m - hommes, cérémonie de remise des médailles	400 m - hommes, remise méd.
AT	M	004	N	7	Men's 400m - Draw	Men's 400m - Draw	400 m - hommes, tirage au sort	400 m - hommes, tirage au sort
AT	M	008	0	8	Men's 800m	Men's 800m	800 m - hommes	800 m - hommes
AT	M	008	1	3	Men's 800m Final	Men's 800m Final	800 m - hommes, finale	800 m - hommes, finale
AT	M	008	2	3	Men's 800m Semifinals	Men's 800m Semifinals	800 m - hommes, demi-finales	800 m - hommes, demi-finales
AT	M	008	9	3	Men's 800m Round 1	Men's 800m Round 1	800 m - hommes, 1er tour	800 m - hommes, 1er tour
AT	M	008	M	6	Men's 800m Victory Ceremony	Men's 800m Victory Ceremony	800 m - hommes, cérémonie de remise des médailles	800 m - hommes, remise méd.
AT	M	008	N	7	Men's 800m - Draw	Men's 800m - Draw	800 m - hommes, tirage au sort	800 m - hommes, tirage au sort
AT	M	012	0	8	Men's 110m Hurdles	Men's 110m Hurdles	110 m haies - hommes	110 m haies - hommes
AT	M	012	1	3	Men's 110m Hurdles Final	Men's 110m Hurdles Final	110 m haies - hommes, finale	110 m haies - hommes, finale
AT	M	012	2	3	Men's 110m Hurdles Semifinals	Men's 110m Hurdles Semifinals	110 m haies - hommes, demi-finales	110 m haies - hommes, demi-finales
AT	M	012	9	3	Men's 110m Hurdles Round 1	Men's 110m Hurdles Round 1	110 m haies - homme, 1er tour	110 m haies - hommes, 1er tour
AT	M	012	M	6	Men's 110m Hurdles Victory Ceremony	Men's 110m Hurdles Victory Ceremony	110 m haies - hommes, cérémonie de remise des médailles	110 m haies - hommes, remise méd.
AT	M	012	N	7	Men's 110m Hurdles - Draw	Men's 110m Hurdles - Draw	110 m haies - hommes, tirage au sort	110 m haies - hommes, tirage au sort
AT	M	015	0	8	Men's 1500m	Men's 1500m	1 500 m - hommes	1 500 m - hommes
AT	M	015	1	3	Men's 1500m Final	Men's 1500m Final	1 500 m - hommes, finale	1 500 m - hommes, finale
AT	M	015	2	3	Men's 1500m Semifinals	Men's 1500m Semifinals	1 500 m - hommes, demi-finales	1 500 m - hommes, demi-finales
AT	M	015	9	3	Men's 1500m Round 1	Men's 1500m Round 1	1 500 m - hommes, 1er tour	1 500 m - hommes, 1er tour
AT	M	015	M	6	Men's 1500m Victory Ceremony	Men's 1500m Victory Ceremony	1 500 m - hommes, cérémonie de remise des médailles	1 500 m - hommes, remise méd.
AT	M	015	N	7	Men's 1500m - Draw	Men's 1500m - Draw	1 500 m - hommes, tirage au sort	1 500 m - hommes, tirage au sort
AT	M	033	0	8	Men's 3000m Steeplechase	Men's 3000m Steeplechase	3 000 m steeple - hommes	3 000 m steeple - hommes
AT	M	033	1	3	Men's 3000m Steeplechase Final	Men's 3000m Steeplechase Final	3 000 m steeple - hommes, finale	3 000 m steeple - hommes, finale
AT	M	033	9	3	Men's 3000m Steeplechase Round 1	Men's 3000m Steeplechase Round 1	3 000 m steeple - hommes, 1er tour	3 000 m steeple - hommes, 1er tour
AT	M	033	M	6	Men's 3000m Steeplechase Victory Ceremony	Men's 3000m Steeplechase Victory Cere...	3 000 m steeple - hommes, cérémonie de remise des médailles	3 000 m steeple - hommes, remise méd.
AT	M	033	N	7	Men's 3000m Steeplechase - Draw	Men's 3000m Steeplechase - Draw	3 000 m steeple - hommes, tirage au sort	3 000 m steeple - hommes, tirage au sort
AT	M	044	0	8	Men's 400m Hurdles	Men's 400m Hurdles	400 m haies - hommes	400 m haies - hommes
AT	M	044	1	3	Men's 400m Hurdles Final	Men's 400m Hurdles Final	400 m haies - hommes, finale	400 m haies - hommes, finale
AT	M	044	2	3	Men's 400m Hurdles Semifinals	Men's 400m Hurdles Semifinals	400 m haies - hommes, demi-finales	400 m haies - hommes, demi-finales
AT	M	044	9	3	Men's 400m Hurdles Round 1	Men's 400m Hurdles Round 1	400 m haies - hommes, 1er tour	400 m haies - hommes, 1er tour
AT	M	044	M	6	Men's 400m Hurdles Victory Ceremony	Men's 400m Hurdles Victory Ceremony	400 m haies - hommes, cérémonie de remise des médailles	400 m haies - hommes, remise méd.
AT	M	044	N	7	Men's 400m Hurdles - Draw	Men's 400m Hurdles - Draw	400 m haies - hommes, tirage au sort	400 m haies - hommes, tirage au sort
AT	M	050	0	8	Men's 5000m	Men's 5000m	5 000 m - hommes	5 000 m - hommes
AT	M	050	1	3	Men's 5000m Final	Men's 5000m Final	5 000 m - hommes, finale	5 000 m - hommes, finale
AT	M	050	9	3	Men's 5000m Round 1	Men's 5000m Round 1	5 000 m - hommes, 1er tour	5 000 m - hommes, 1er tour
AT	M	050	M	6	Men's 5000m Victory Ceremony	Men's 5000m Victory Ceremony	5 000 m - hommes, cérémonie de remise des médailles	5 000 m - hommes, remise méd.
AT	M	050	N	7	Men's 5000m - Draw	Men's 5000m - Draw	5 000 m - hommes, tirage au sort	5 000 m - hommes, tirage au sort
AT	M	051	0	8	Men's Shot Put	Men's Shot Put	Lancer de poids - hommes	Lancer de poids - hommes
AT	M	051	1	3	Men's Shot Put Final	Men's Shot Put Final	Lancer de poids - hommes, finale	Lancer de poids - hommes, finale
AT	M	051	9	3	Men's Shot Put Qualifying Rounds	Men's Shot Put Qualifying Rounds	Lancer de poids - hommes, qualifications	Lancer de poids - hommes, qualifications
AT	M	051	M	6	Men's Shot Put Victory Ceremony	Men's Shot Put Victory Ceremony	Lancer de poids - hommes, cérémonie de remise des médailles	Lancer de poids - hommes, remise méd.
AT	M	051	N	7	Men's Shot Put - Draw	Men's Shot Put - Draw	Lancer de poids - hommes, tirage au sort	Lancer de poids - hommes, tirage au sort
AT	M	052	0	8	Men's Discus Throw	Men's Discus Throw	Lancer de disque - hommes	Lancer de disque - hommes
AT	M	052	1	3	Men's Discus Throw Final	Men's Discus Throw Final	Lancer de disque - hommes, finale	Lancer de disque - hommes, finale
AT	M	052	9	3	Men's Discus Throw Qualifying Rounds	Men's Discus Throw Qualifying Rounds	Lancer de disque - hommes, qualifications	Lancer de disque - hom., qualifications
AT	M	052	M	6	Men's Discus Throw Victory Ceremony	Men's Discus Throw Victory Ceremony	Lancer de disque - hommes, cérémonie de remise des médailles	Lancer de disque - hommes, remise méd.
AT	M	052	N	7	Men's Discus Throw - Draw	Men's Discus Throw - Draw	Lancer de disque - hommes, tirage au sort	Lancer de disque - hom., tirage au sort
AT	M	053	0	8	Men's Javelin Throw	Men's Javelin Throw	Lancer de javelot - hommes	Lancer de javelot - hommes
AT	M	053	1	3	Men's Javelin Throw Final	Men's Javelin Throw Final	Lancer de javelot - hommes, finale	Lancer de javelot - hommes, finale
AT	M	053	9	3	Men's Javelin Throw Qualifying Rounds	Men's Javelin Throw Qualifying Rounds	Lancer de javelot - hommes, qualifications	Lancer de javelot - hom., qualifications
AT	M	053	M	6	Men's Javelin Throw Victory Ceremony	Men's Javelin Throw Victory Ceremony	Lancer de javelot - hommes, cérémonie de remise des médailles	Lancer de javelot - hommes, remise méd.
AT	M	053	N	7	Men's Javelin Throw - Draw	Men's Javelin Throw - Draw	Lancer de javelot - hommes, tirage au sort	Lancer de javelot - hom., tirage au sort
AT	M	054	0	8	Men's Hammer Throw	Men's Hammer Throw	Lancer de marteau - hommes	Lancer de marteau - hommes
AT	M	054	1	3	Men's Hammer Throw Final	Men's Hammer Throw Final	Lancer de marteau - hommes, finale	Lancer de marteau - hommes, finale
AT	M	054	9	3	Men's Hammer Throw Qualifying Rounds	Men's Hammer Throw Qualifying Rounds	Lancer de marteau - hommes, qualifications	Lancer de marteau - hom., qualifications
AT	M	054	M	6	Men's Hammer Throw Victory Ceremony	Men's Hammer Throw Victory Ceremony	Lancer de marteau - hommes, cérémonie de remise des médailles	Lancer de marteau - hommes, remise méd.
AT	M	054	N	7	Men's Hammer Throw - Draw	Men's Hammer Throw - Draw	Lancer de marteau - hommes, tirage au sort	Lancer de marteau - hom., tirage au sort
AT	M	061	0	8	Men's Long Jump	Men's Long Jump	Saut en longueur - hommes	Saut en longueur - hommes
AT	M	061	1	3	Men's Long Jump Final	Men's Long Jump Final	Saut en longueur - hommes, finale	Saut en longueur - hommes, finale
AT	M	061	9	3	Men's Long Jump Qualifying Rounds	Men's Long Jump Qualifying Rounds	Saut en longueur - hommes, qualifications	Saut en longueur - hom., qualifications
AT	M	061	M	6	Men's Long Jump Victory Ceremony	Men's Long Jump Victory Ceremony	Saut en longueur - hommes, cérémonie de remise des médailles	Saut en longueur - hommes, remise méd.
AT	M	061	N	7	Men's Long Jump - Draw	Men's Long Jump - Draw	Saut en longueur - hommes, tirage au sort	Saut en longueur - hom., tirage au sort
AT	M	062	0	8	Men's Triple Jump	Men's Triple Jump	Triple saut - hommes	Triple saut - hommes
AT	M	062	1	3	Men's Triple Jump Final	Men's Triple Jump Final	Triple saut - hommes, finale	Triple saut - hommes, finale
AT	M	062	9	3	Men's Triple Jump Qualifying Rounds	Men's Triple Jump Qualifying Rounds	Triple saut - hommes, qualifications	Triple saut - hommes, qualifications
AT	M	062	M	6	Men's Triple Jump Victory Ceremony	Men's Triple Jump Victory Ceremony	Triple saut - hommes, cérémonie de remise des médailles	Triple saut - hommes, remise méd.
AT	M	062	N	7	Men's Triple Jump - Draw	Men's Triple Jump - Draw	Triple saut - hommes, tirage au sort	Triple saut - hommes, tirage au sort
AT	M	071	0	8	Men's High Jump	Men's High Jump	Saut en hauteur - hommes	Saut en hauteur - hommes
AT	M	071	1	3	Men's High Jump Final	Men's High Jump Final	Saut en hauteur - hommes, finale	Saut en hauteur - hommes, finale
AT	M	071	9	3	Men's High Jump Qualifying Rounds	Men's High Jump Qualifying Rounds	Saut en hauteur - hommes, qualifications	Saut en hauteur - hommes, qualifications
AT	M	071	M	6	Men's High Jump Victory Ceremony	Men's High Jump Victory Ceremony	Saut en hauteur - hommes, cérémonie de remise des médailles	Saut en hauteur - hommes, remise méd.
AT	M	071	N	7	Men's High Jump - Draw	Men's High Jump - Draw	Saut en hauteur - hommes, tirage au sort	Saut en hauteur - hommes, tirage au sort
AT	M	072	0	8	Men's Pole Vault	Men's Pole Vault	Saut à la perche - hommes	Saut à la perche - hommes
AT	M	072	1	3	Men's Pole Vault Final	Men's Pole Vault Final	Saut à la perche - hommes, finale	Saut à la perche - hommes, finale
AT	M	072	9	3	Men's Pole Vault Qualifying Rounds	Men's Pole Vault Qualifying Rounds	Saut à la perche - hommes, qualifications	Saut à la perche - hom., qualifications
AT	M	072	M	6	Men's Pole Vault Victory Ceremony	Men's Pole Vault Victory Ceremony	Saut à la perche - hommes, cérémonie de remise des médailles	Saut à la perche - hommes, remise méd.
AT	M	072	N	7	Men's Pole Vault - Draw	Men's Pole Vault - Draw	Saut à la perche - hommes, tirage au sort	Saut à la perche - hom., tirage au sort
AT	M	092	0	8	Men's 20km Race Walk	Men's 20km Race Walk	20 km marche - hommes	20 km marche - hommes
AT	M	092	1	3	Men's 20km Race Walk	Men's 20km Race Walk	20 km marche - hommes	20 km marche - hommes
AT	M	092	M	6	Men's 20km Race Walk Victory Ceremony	Men's 20km Race Walk Victory Ceremony	20 km marche - hommes, cérémonie de remise des médailles	20 km marche - hommes, remise médailles
AT	M	092	N	7	Men's 20km Race Walk - Draw	Men's 20km Race Walk - Draw	20 km marche - hommes, tirage au sort	20 km marche - hommes, tirage au sort
AT	M	095	0	8	Men's 50km Race Walk	Men's 50km Race Walk	50 km marche - hommes	50 km marche - hommes
AT	M	095	1	3	Men's 50km Race Walk	Men's 50km Race Walk	50 km marche - hommes	50 km marche - hommes
AT	M	095	M	6	Men's 50km Race Walk Victory Ceremony	Men's 50km Race Walk Victory Ceremony	50 km marche - hommes, cérémonie de remise des médailles	50 km marche - hommes, remise médailles
AT	M	095	N	7	Men's 50km Race Walk - Draw	Men's 50km Race Walk - Draw	50 km marche - hommes, tirage au sort	50 km marche - hommes, tirage au sort
AT	M	099	0	8	Men's Marathon	Men's Marathon	Marathon - hommes	Marathon - hommes
AT	M	099	1	3	Men's Marathon	Men's Marathon	Marathon - hommes	Marathon - hommes
AT	M	099	M	6	Men's Marathon Victory Ceremony	Men's Marathon Victory Ceremony	Marathon - hommes, cérémonie de remise des médailles	Marathon - hommes, remise méd.
AT	M	099	N	7	Men's Marathon - Draw	Men's Marathon - Draw	Marathon - hommes, tirage au sort	Marathon - hommes, tirage au sort
AT	M	100	0	8	Men's 10,000m	Men's 10,000m	10 000 m - hommes	10 000 m - hommes
AT	M	100	1	3	Men's 10,000m Final	Men's 10,000m Final	10 000 m - hommes, finale	10 000 m - hommes, finale
AT	M	100	M	6	Men's 10,000m Victory Ceremony	Men's 10,000m Victory Ceremony	10 000 m - hommes, cérémonie de remise des médailles	10 000 m - hommes, remise méd.
AT	M	100	N	7	Men's 10,000m - Draw	Men's 10,000m - Draw	10 000 m - hommes, tirage au sort	10 000 m - hommes, tirage au sort
AT	M	401	0	8	Men's 4 x 100m Relay	Men's 4 x 100m Relay	Relais 4 x 100 m - hommes	Relais 4 x 100 m - hommes
AT	M	401	1	3	Men's 4 x 100m Relay Final	Men's 4 x 100m Relay Final	Relais 4 x 100 m - hommes, finale	Relais 4 x 100 m - hommes, finale
AT	M	401	9	3	Men's 4 x 100m Relay Round 1	Men's 4 x 100m Relay Round 1	Relais 4 x 100 m - hommes, 1er tour	Relais 4 x 100 m - hommes, 1er tour
AT	M	401	M	6	Men's 4 x 100m Relay Victory Ceremony	Men's 4 x 100m Relay Victory Ceremony	Relais 4 x 100 m - hommes, cérémonie de remise des médailles	Relais 4 x 100 m - hommes, remise méd.
AT	M	401	N	7	Men's 4 x 100m Relay - Draw	Men's 4 x 100m Relay - Draw	Relais 4 x 100 m - hommes, tirage au sort	Relais 4 x 100 m - hom., tirage au sort
AT	M	404	0	8	Men's 4 x 400m Relay	Men's 4 x 400m Relay	Relais 4 x 400 m - hommes	Relais 4 x 400 m - hommes
AT	M	404	1	3	Men's 4 x 400m Relay Final	Men's 4 x 400m Relay Final	Relais 4 x 400 m - hommes, finale	Relais 4 x 400 m - hommes, finale
AT	M	404	9	3	Men's 4 x 400m Relay Round 1	Men's 4 x 400m Relay Round 1	Relais 4 x 400 m - hommes, 1er tour	Relais 4 x 400 m - hommes, 1er tour
AT	M	404	M	6	Men's 4 x 400m Relay Victory Ceremony	Men's 4 x 400m Relay Victory Ceremony	Relais 4 x 400 m - hommes, cérémonie de remise des médailles	Relais 4 x 400 m - hommes, remise méd.
AT	M	404	N	7	Men's 4 x 400m Relay - Draw	Men's 4 x 400m Relay - Draw	Relais 4 x 400 m - hommes, tirage au sort	Relais 4 x 400 m - hom., tirage au sort
AT	M	900	0	8	Men's Decathlon	Men's Decathlon	Décathlon - hommes	Décathlon - hommes
AT	M	900	1	3	Men's Decathlon Final	Men's Decathlon Final	Décathlon - hommes, finale	Décathlon - hommes, finale
AT	M	900	A	3	Men's Decathlon 100m	Men's Decathlon 100m	Décathlon - hommes, 100 m	Décathlon - hommes, 100 m
AT	M	900	B	3	Men's Decathlon Long Jump	Men's Decathlon Long Jump	Décathlon - saut en longueur, hommes	Décathlon - saut en longueur, hommes
AT	M	900	C	3	Men's Decathlon Shot Put	Men's Decathlon Shot Put	Décathlon - lancer de poids, hommes	Décathlon - lancer de poids, hommes
AT	M	900	D	3	Men's Decathlon High Jump	Men's Decathlon High Jump	Décathlon - saut en hauteur, hommes	Décathlon - saut en hauteur, hommes
AT	M	900	E	3	Men's Decathlon 400m	Men's Decathlon 400m	Décathlon - 400 m, hommes	Décathlon - 400 m, hommes
AT	M	900	F	3	Men's Decathlon 110m Hurdles	Men's Decathlon 110m Hurdles	Décathlon - 110 m haies, hommes	Décathlon - 110 m haies, hommes
AT	M	900	G	3	Men's Decathlon Discus Throw	Men's Decathlon Discus Throw	Décathlon - lancer de disque, hommes	Décathlon - lancer de disque, hommes
AT	M	900	H	3	Men's Decathlon Pole Vault	Men's Decathlon Pole Vault	Décathlon - saut à la perche, hommes	Décathlon - saut à la perche, hommes
AT	M	900	I	3	Men's Decathlon Javelin Throw	Men's Decathlon Javelin Throw	Décathlon - lancer de javelot, hommes	Décathlon - lancer de javelot, hommes
AT	M	900	J	3	Men's Decathlon 1500m	Men's Decathlon 1500m	Décathlon - 1 500 m, hommes	Décathlon - 1 500 m, hommes
AT	M	900	M	6	Men's Decathlon Victory Ceremony	Men's Decathlon Victory Ceremony	Décathlon - hommes, cérémonie de remise des médailles	Décathlon - hommes, remise médailles
AT	M	900	N	7	Men's Decathlon - Draw	Men's Decathlon - Draw	Décathlon - hommes, tirage au sort	Décathlon - hommes, tirage au sort
AT	W	000	0	8	Women	Women	Femmes	Femmes
AT	W	001	0	8	Women's 100m	Women's 100m	100 m - femmes	100 m - femmes
AT	W	001	1	3	Women's 100m Final	Women's 100m Final	100 m - femmes, finale	100 m - femmes, finale
AT	W	001	2	3	Women's 100m Semifinals	Women's 100m Semifinals	100 m - femmes, demi-finales	100 m - femmes, demi-finales
AT	W	001	9	3	Women's 100m Round 1	Women's 100m Round 1	100 m - femmes, 1er tour	100 m - femmes, 1er tour
AT	W	001	M	6	Women's 100m Victory Ceremony	Women's 100m Victory Ceremony	100 m - femmes, cérémonie de remise des médailles	100 m - femmes, remise méd.
AT	W	001	N	7	Women's 100m - Draw	Women's 100m - Draw	100 m - femmes, tirage au sort	100 m - femmes, tirage au sort
AT	W	001	P	3	Women's 100m Preliminary Round	Women's 100m Preliminary Round	100 m, femmes - tour préliminaire	100 m, femmes - tour préliminaire
AT	W	002	0	8	Women's 200m	Women's 200m	200 m - femmes	200 m - femmes
AT	W	002	1	3	Women's 200m Final	Women's 200m Final	200 m - femmes, finale	200 m - femmes, finale
AT	W	002	2	3	Women's 200m Semifinals	Women's 200m Semifinals	200 m - femmes, demi-finales	200 m - femmes, demi-finales
AT	W	002	9	3	Women's 200m Round 1	Women's 200m Round 1	200 m - femmes, 1er tour	200 m - femmes, 1er tour
AT	W	002	M	6	Women's 200m Victory Ceremony	Women's 200m Victory Ceremony	200 m - femmes, cérémonie de remise des médailles	200 m - femmes, remise méd.
AT	W	002	N	7	Women's 200m - Draw	Women's 200m - Draw	200 m - femmes, tirage au sort	200 m - femmes, tirage au sort
