Discipline	Gender	Event	phase	type	ENG longdescription	ENG Description	FRA longdescription	FRA Description
EQ	X	002	1	3	Jumping Individual Finals	Jumping Individual Finals	Saut d'obstacles individuel, finales	Saut d'obstacles individuel, finales
EQ	X	002	2	3	Jumping Individual Qualification	Jumping Individual Qualification	Saut d'obstacles individuel, épreuve qualificative	Saut d'obstacles ind., épreuve qualif.
EQ	X	002	9	3	Jumping Individual 1st Qualification	Jumping Individual 1st Qualification	Saut d'obstacles individuel, 1re épreuve qualificative	Saut d'obstacles ind., 1re épr. qualif.
EQ	X	002	M	6	Jumping Individual Victory Ceremony	Jumping Individual Victory Ceremony	Saut d'obstacles individuel, cérémonie de remise des médailles	Saut d'obstacles ind., remise médailles
EQ	X	002	N	7	Jumping Draw	Jumping Draw	Saut d'obstacles, tirage au sort	Saut d'obstacles, tirage au sort
EQ	X	002	R	3	Jumping Horse Inspection	Jumping Horse Inspection	Saut d'obstacles, inspection des chevaux	Saut d'obstacles, inspection des chevaux
EQ	X	002	T	1	Jumping Training	Jumping Training	Saut d'obstacles, entraînement	Saut d'obstacles, entraînement
EQ	X	003	0	8	Eventing Individual	Eventing Individual	Concours complet individuel	Concours complet individuel
EQ	X	003	1	3	Eventing Individual Jumping Final	Eventing Individual Jumping Final	Concours complet individuel, saut d'obstacles - finale	CC ind., saut d'obstacles - finale
EQ	X	003	2	3	Eventing Individual Jumping	Eventing Individual Jumping	Concours complet individuel, saut d'obstacles	CC individuel, saut d'obstacles
EQ	X	003	3	3	Eventing Individual Cross Country	Eventing Individual Cross Country	Concours complet individuel, cross	CC individuel, cross
EQ	X	003	4	3	Eventing Individual Dressage	Eventing Individual Dressage	Concours complet individuel, dressage	CC individuel, dressage
EQ	X	003	M	6	Eventing Individual Victory Ceremony	Eventing Individual Victory Ceremony	Concours complet individuel, cérémonie de remise des médailles	CC individuel, remise des médailles
EQ	X	003	N	7	Eventing Draw	Eventing Draw	Concours complet, tirage au sort	Concours complet, tirage au sort
EQ	X	003	R	3	Eventing Horse Inspection	Eventing Horse Inspection	Concours complet, inspection des chevaux	Concours complet, inspection des chevaux
EQ	X	401	0	8	Dressage Team	Dressage Team	Dressage par équipes	Dressage par équipes
EQ	X	401	1	3	Dressage Team Grand Prix Special	Dressage Team Grand Prix Special	Dressage par équipes, grand prix - spécial	Dressage équipes, grand prix - spécial
EQ	X	401	9	3	Dressage Team Grand Prix	Dressage Team Grand Prix	Dressage par équipes, grand prix	Dressage équipes, grand prix
EQ	X	401	M	6	Dressage Team Victory Ceremony	Dressage Team Victory Ceremony	Dressage par équipes, cérémonie de remise des médailles	Dressage équipes, remise des médailles
EQ	X	402	0	8	Jumping Team	Jumping Team	Saut d'obstacles par équipes	Saut d'obstacles par équipes
EQ	X	402	1	3	Jumping Team Finals	Jumping Team Finals	Saut d'obstacles par équipes, finales	Saut d'obstacles par équipes, finales
EQ	X	402	9	3	Jumping Team Qualifier	Jumping Team Qualifier	Saut d'obstacles par équipes, épreuve qualificative	Saut d'obstacles par équipes, qualif.
EQ	X	402	M	6	Jumping Team Victory Ceremony	Jumping Team Victory Ceremony	Saut d'obstacles par équipes, cérémonie de remise des médailles	Saut d'obstacles équipes, remise méd.
EQ	X	403	0	8	Eventing Team	Eventing Team	Concours complet par équipes	CC par équipes
EQ	X	403	1	3	Eventing Team Jumping	Eventing Team Jumping	Concours complet par équipes, saut d'obstacles	CC par équipes, saut d'obstacles
EQ	X	403	2	3	Eventing Team Cross Country	Eventing Team Cross Country	Concours complet par équipes, parcours de cross	CC par équipes, parcours de cross
EQ	X	403	3	3	Eventing Team Dressage	Eventing Team Dressage	Concours complet par équipes, dressage	CC par équipes, dressage
EQ	X	403	M	6	Eventing Team Victory Ceremony	Eventing Team Victory Ceremony	Concours complet par équipes, cérémonie de remise des médailles	CC par équipes, remise des médailles
FB	0	000	0	8	Football	Football	Football	Football
FB	0	000	Y	8	Football Daily Schedule	Football Daily Schedule	Football - calendrier par jour	Football - calendrier par jour
FB	0	COV	0	8	City of Coventry Stadium	City of Coventry Stadium	City of Coventry Stadium	City of Coventry Stadium
FB	0	HAM	0	8	Hampden Park	Hampden Park	Hampden Park	Hampden Park
FB	0	MIL	0	8	Millennium Stadium	Millennium Stadium	Millennium Stadium	Millennium Stadium
FB	0	OLD	0	8	Old Trafford	Old Trafford	Old Trafford	Old Trafford
FB	0	SJP	0	8	St James' Park	St James' Park	St James' Park	St James' Park
FB	0	WEM	0	8	Wembley Stadium	Wembley Stadium	Wembley Stadium	Wembley Stadium
FB	M	000	0	8	Men	Men	Hommes	Hommes
FB	M	400	0	8	Men	Men	Hommes	Hommes
FB	M	400	1	3	Men's Medal Matches	Men's Medal Matches	Hommes, matches pour les médailles	Hommes, matches pour les médailles
FB	M	400	2	3	Men's Semifinals	Men's Semifinals	Hommes, demi-finales	Hommes, demi-finales
FB	M	400	3	3	Men's Quarterfinals	Men's Quarterfinals	Hommes, quarts de finale	Hommes, quarts de finale
FB	M	400	9	3	Men's First Round	Men's First Round	Hommes, éliminatoires	Hommes, éliminatoires
FB	M	400	A	3	Men's Group A	Men's Group A	Hommes - groupe A	Hommes - groupe A
FB	M	400	B	3	Men's Group B	Men's Group B	Hommes - groupe B	Hommes - groupe B
FB	M	400	C	3	Men's Group C	Men's Group C	Hommes - groupe C	Hommes - groupe C
FB	M	400	D	3	Men's Group D	Men's Group D	Hommes - groupe D	Hommes - groupe D
FB	M	400	M	6	Men's Victory Ceremony	Men's Victory Ceremony	Hommes, cérémonie de remise des médailles	Hommes, remise des médailles
FB	W	000	0	8	Women	Women	Femmes	Femmes
FB	W	400	0	8	Women	Women	Femmes	Femmes
FB	W	400	1	3	Women's Medal Matches	Women's Medal Matches	Femmes, matches pour les médailles	Femmes, matches pour les médailles
FB	W	400	2	3	Women's Semifinals	Women's Semifinals	Femmes, demi-finales	Femmes, demi-finales
FB	W	400	3	3	Women's Quarterfinals	Women's Quarterfinals	Femmes, quarts de finale	Femmes, quarts de finale
FB	W	400	9	3	Women's First Round	Women's First Round	Femmes, éliminatoires	Femmes, éliminatoires
FB	W	400	E	3	Women's Group E	Women's Group E	Femmes - groupe E	Femmes - groupe E
FB	W	400	F	3	Women's Group F	Women's Group F	Femmes - groupe F	Femmes - groupe F
FB	W	400	G	3	Women's Group G	Women's Group G	Femmes - groupe G	Femmes - groupe G
FB	W	400	M	6	Women's Victory Ceremony	Women's Victory Ceremony	Femmes, cérémonie de remise des médailles	Femmes, remise des médailles
FE	0	000	0	8	Fencing	Fencing	Escrime	Escrime
FE	0	000	N	7	Fencing Draw	Fencing Draw	Escrime - tirage au sort	Escrime - tirage au sort
FE	0	000	Q	4	Fencing Delegation Leader's Meeting	Fencing Delegation Leader's Meeting	Escrime - réunion des chefs de délégation	Escrime - réunion chefs de délégation
FE	0	100	Z	8	Fencing Individual - Session	Fencing Individual - Session	Escrime individuelle - session	Escrime individuelle - session
FE	0	400	Z	8	Fencing Team - Session	Fencing Team - Session	Escrime par équipes - session	Escrime par équipes - session
FE	0	ES1	0	8	ExCeL - South Arena 1	ExCeL - South Arena 1	ExCeL - South Arena 1	ExCeL - South Arena 1
FE	M	000	0	8	Men	Men	Hommes	Hommes
FE	M	001	0	8	Men's Foil Individual	Men's Foil Individual	Fleuret individuel - hommes	Fleuret individuel - hommes
FE	M	001	1	3	Men's Foil Individual Finals	Men's Foil Individual Finals	Fleuret individuel - hommes, finales	Fleuret individuel - hommes, finales
FE	M	001	2	3	Men's Foil Individual Semifinals	Men's Foil Individual Semifinals	Fleuret individuel - hommes, demi-finales	Fleuret individuel - hommes, 1/2 finales
FE	M	001	3	3	Men's Foil Individual Quarterfinals	Men's Foil Individual Quarterfinals	Fleuret individuel - hommes, quarts de finale	Fleuret individuel - hommes, 1/4 finale
FE	M	001	4	3	Men's Foil Individual Round of 16	Men's Foil Individual Round of 16	Fleuret individuel - hommes, 8es de finale	Fleuret individuel - hommes, 1/8 finale
FE	M	001	5	3	Men's Foil Individual Round of 32	Men's Foil Individual Round of 32	Fleuret individuel - hommes, 16es de finale	Fleuret individuel - hommes, 1/16 finale
FE	M	001	6	3	Men's Foil Individual Round of 64	Men's Foil Individual Round of 64	Fleuret individuel - hommes, 32es de finale	Fleuret individuel - hommes, 1/32 finale
FE	M	001	M	6	Men's Foil Individual Victory Ceremony	Men's Foil Individual Victory Ceremony	Fleuret individuel - hommes, cérémonie de remise des médailles	Fleuret individuel - hommes, remise méd.
FE	M	002	0	8	Men's Epee Individual	Men's Epee Individual	Épée individuelle - hommes	Épée individuelle - hommes
FE	M	002	1	3	Men's Epee Individual Finals	Men's Epee Individual Finals	Épée individuelle - hommes, finales	Épée individuelle - hommes, finales
FE	M	002	2	3	Men's Epee Individual Semifinals	Men's Epee Individual Semifinals	Épée individuelle - hommes, demi-finales	Épée individuelle - hommes, 1/2 finales
FE	M	002	3	3	Men's Epee Individual Quarterfinals	Men's Epee Individual Quarterfinals	Épée individuelle - hommes, quarts de finale	Épée individuelle - hommes, 1/4 finale
FE	M	002	4	3	Men's Epee Individual Round of 16	Men's Epee Individual Round of 16	Épée individuelle - hommes, 8es finale	Épée individuelle - hommes, 1/8 finale
FE	M	002	5	3	Men's Epee Individual Round of 32	Men's Epee Individual Round of 32	Épée individuelle - hommes, 16es finale	Épée individuelle - hommes, 1/16 finale
FE	M	002	6	3	Men's Epee Individual Round of 64	Men's Epee Individual Round of 64	Épée individuelle - hommes, 32es finale	Épée individuelle - hommes, 1/32 finale
FE	M	002	M	6	Men's Epee Individual Victory Ceremony	Men's Epee Individual Victory Ceremony	Épée individuelle - hommes, cérémonie de remise des médailles	Épée individuelle - hommes, remise méd.
FE	M	003	0	8	Men's Sabre Individual	Men's Sabre Individual	Sabre individuel - hommes	Sabre individuel - hommes
FE	M	003	1	3	Men's Sabre Individual Finals	Men's Sabre Individual Finals	Sabre individuel - hommes, finales	Sabre individuel - hommes, finales
FE	M	003	2	3	Men's Sabre Individual Semifinals	Men's Sabre Individual Semifinals	Sabre individuel - hommes, demi-finales	Sabre individuel - hommes, 1/2 finales
